source_hint,annotation_id,objCls,sentence,description,related_genes,related_chemicals,location_display,gene_phenotype,metabolizers1,metabolizers2,polarity,significance,phenotype_categories,score,literature_title,literature_pmid,literature_doi,literature_year,query_gene,query_gene_id,query_drug,query_drug_id
data/guidelineAnnotation,PA166104956,Guideline Annotation,,,CYP2C19,clopidogrel,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166104948,Guideline Annotation,,,CYP2C19,clopidogrel,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166202501,Guideline Annotation,,,CYP2C19,clopidogrel,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166342701,Guideline Annotation,,,CYP2C19,clopidogrel,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166161537,Guideline Annotation,,,CYP2C19,voriconazole,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166104958,Guideline Annotation,,,CYP2C19,pantoprazole,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166104980,Guideline Annotation,,,CYP2C19,sertraline,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166104987,Guideline Annotation,,,CYP2C19,lansoprazole,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166182805,Guideline Annotation,,,CYP2C19,mirtazapine,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166182820,Guideline Annotation,,,CYP2C19,prasugrel,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166104977,Guideline Annotation,,,CYP2C19,citalopram,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166104957,Guideline Annotation,,,CYP2C19,omeprazole,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166182807,Guideline Annotation,,,CYP2C19,ticagrelor,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166104931,Guideline Annotation,,,CYP2C19,esomeprazole,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166184526,Guideline Annotation,,,CYP2C19,amitriptyline,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166182814,Guideline Annotation,,,CYP2C19,fluvoxamine,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166104975,Guideline Annotation,,,CYP2C19,escitalopram,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166184529,Guideline Annotation,,,CYP2C19,doxepin,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166104954,Guideline Annotation,,,CYP2C19,imipramine,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166104941,Guideline Annotation,,,CYP2C19,moclobemide,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166104985,Guideline Annotation,,,CYP2C19,rabeprazole,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166184528,Guideline Annotation,,,CYP2C19,clomipramine,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166105007,Guideline Annotation,,,CYP2C19; CYP2D6,clomipramine,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166104999,Guideline Annotation,,,CYP2C19; CYP2D6,imipramine,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166105000,Guideline Annotation,,,CYP2C19; CYP2D6,doxepin,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166105001,Guideline Annotation,,,CYP2C19; CYP2D6,trimipramine,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166105006,Guideline Annotation,,,CYP2C19; CYP2D6,amitriptyline,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166127638,Guideline Annotation,,,CYP2C19,citalopram; escitalopram,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166127639,Guideline Annotation,,,CYP2B6; CYP2C19,sertraline,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166219301,Guideline Annotation,,,CYP2C19,dexlansoprazole,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166220321,Guideline Annotation,,,CYP2C19,esomeprazole; rabeprazole,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166219103,Guideline Annotation,,,CYP2C19,lansoprazole; omeprazole; pantoprazole,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166257241,Guideline Annotation,,,CYP2C19,voriconazole,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166202701,Guideline Annotation,,,CYP2C19; CYP2D6,antidepressants,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166104990,Guideline Annotation,,,CYP2C19,voriconazole,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166360361,Guideline Annotation,,,CYP2C19,mavacamten,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166418081,Guideline Annotation,,,CYP2C19,mavacamten,,,,,,,,,,,,,CYP2C19,PA124,clopidogrel,PA449053
data/guidelineAnnotation,PA166161537,Guideline Annotation,,,CYP2C19,voriconazole,,,,,,,,,,,,,CYP2C19,PA124,voriconazole,PA10233
data/guidelineAnnotation,PA166257241,Guideline Annotation,,,CYP2C19,voriconazole,,,,,,,,,,,,,CYP2C19,PA124,voriconazole,PA10233
data/guidelineAnnotation,PA166104990,Guideline Annotation,,,CYP2C19,voriconazole,,,,,,,,,,,,,CYP2C19,PA124,voriconazole,PA10233
